...1,Stream,Month,Site Type,Tag,Species,Mesohabitat,Stream Width,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Creation Date,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y,ObjectID
NA,Beaver,March,Available,NA,NA,Riffle,17,NA,NA,Cobble,0.4,0.9,0,0,0,0,1.3,Yes,34.672458,-111.667327,Not safe to measure,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,150
NA,Beaver,March,Available,NA,NA,Riffle,5.82,NA,NA,Boulder,0.7,0.9,0,0,0,0,1.6,No,34.672398,-111.667373,Not safe to measure,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,149
NA,Beaver,March,Available,NA,NA,Run,5.61,30,0,Cobble,0,0,0,0,0,0,0,Yes,34.672215,-111.667558,NA,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,148
NA,Beaver,March,Occupied,110,Desert Sucker,Run,8.7,56,0.15,Gravel,0.4,0,0,0,0,0,0.4,Yes,34.674072,-111.671873,NA,3/14/2022 0:00,NA,121,256,Backpack Shocker,11/3/2022,NA,NA,68
NA,Beaver,March,Available,NA,NA,Run,9.89,47,0.25,Pebble,0.3,0,0,0,0,0,0.3,Yes,34.674088,-111.671917,NA,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,67
NA,Beaver,March,Available,NA,NA,Run,5.86,35,0.28,Gravel,0.1,0,0,0.05,0,0,0.15,Yes,34.672908,-111.666527,NA,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,168
NA,Beaver,March,Available,NA,NA,Run,11.26,45,0.41,Boulder,0.3,0,0,0,0,0,0.3,No,34.674105,-111.671973,NA,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,66
NA,Beaver,March,Available,NA,NA,Run,6.08,36,0.49,Bedrock,0,0,0,0,0,0,0,No,34.672443,-111.667558,NA,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,147
NA,Beaver,March,Available,NA,NA,Run,8.22,64,0.57,Boulder,0,0.5,0,0,0,0,0.5,No,34.67392,-111.670048,NA,3/14/2022 0:00,Changed Riffle to Run. Confirmed change to boulder with photo (known location),NA,NA,NA,NA,NA,NA,93
NA,Beaver,March,Available,NA,NA,Run,6.17,117,0.81,Bedrock,0,0,0,0,0,0,0,Yes,34.673942,-111.670187,NA,3/14/2022 0:00,"Changed from riffle to run based on depth, velocity, and photo",NA,NA,NA,NA,NA,NA,91
NA,Beaver,March,Available,NA,NA,Run,7.94,74,1.34,Boulder,0.7,0.3,0,0,0,0,1,Yes,34.672757,-111.666853,NA,3/14/2022 0:00,NA,NA,NA,NA,NA,NA,NA,163
26,Beaver,May,Occupied,155,Black Bass,Pool,Na,41,0.06,Gravel,0,0,0,0,0,0,0,Yes,34.673,111.666388,NA,5/18/2022 0:00,Confirmed Date,143,231,Backpack Shocker,11/16/2022,NA,Pool,112
17,Beaver,May,Occupied,131,Black Bass,Pool,Na,56,0.02,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672588,111.667649,NA,5/18/2022 23:00,NA,82,191,Backpack Shocker,11/12/2022,NA,Riffles,91
22,Beaver,May,Occupied,145,Black Bass,Pool,Na,56,0.03,Cobble,0.3,0,0,0,0,0,0.3,No,34.6731,111.666305,NA,5/18/2022 0:00,Confirmed Date,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA,118
4,Beaver,May,Occupied,108,Black Bass,Pool,Na,62,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,34.67296,111.668479,NA,5/18/2022 21:01,NA,109,215,Backpack Shocker,11/12/2022,NA,NA,75
1,Beaver,May,Occupied,104,Black Bass,Pool,NA,64,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.674004,111.670822,NA,5/17/2022 22:19,NA,140,217,Backpack Shocker,11/3/2022,NA,NA,36
19,Beaver,May,Occupied,135,Black Bass,Pool,Na,64,0,Sand,0.3,0,0,0,0,0,0.3,Yes,34.673069,111.666302,NA,5/18/2022 0:00,Confirmed Date,95,197,Backpack Shocker,11/16/2022,NA,Pool,115
10,Beaver,May,Occupied,120,Black Bass,Pool,Na,86,0.01,Gravel,0.05,0,0,0.05,0,0,0.1,No,34.673454,111.669341,NA,5/18/2022 18:36,NA,77,182,Backpack Shocker,11/12/2022,NA,NA,63
18,Beaver,May,Occupied,134,Black Bass,Pool,NA,88,0,Cobble,0,0,0,0,0,0,0,Yes,34.674054,111.670712,NA,5/17/2022 22:27,NA,107,226,Backpack Shocker,11/13/2022,NA,Pool,38
12,Beaver,May,Occupied,123,Black Bass,Pool,Na,88,0.06,Cobble,0,0,0,0,0,0,0,Yes,34.6734811,111.669386,NA,5/18/2022 18:27,NA,115,218,Backpack Shocker,11/12/2022,NA,Riffles,62
3,Beaver,May,Occupied,107,Black Bass,Pool,NA,>150,0,Silt,0,0,0,0,0,0,0,Yes,34.674093,111.672181,"Lat long taken on shore, not at location of fish",5/17/2022 19:54,NA,79,191,Backpack Shocker,11/3/2022,NA,NA,14
15,Beaver,May,Occupied,127,Black Bass,Pool,Na,>150,0,Silt,0,0,0,0.2,0,0,0.2,Yes,34.672595,111.667773,NA,5/18/2022 22:11,NA,85,197,Backpack Shocker,11/12/2022,NA,Riffles,88
16,Beaver,May,Occupied,129,Black Bass,Pool,Na,>150,0,Cobble,0.5,0,0,0,0,0,0.5,Yes,34.673,111.666519,Visually confirmed,5/18/2022 0:00,Confirmed Date,112,201,Backpack Shocker,11/12/2022,NA,Riffles,120
25,Beaver,May,Occupied,152,Black Bass,Pool,NA,>150,0,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.673,111.666519,Visually confirmed,5/18/2022 0:00,Confirmed 5/18 6:05PM,102,207,Backpack Shocker,11/15/2022,NA,NA,121
20,Beaver,May,Occupied,140,Desert Sucker,Pool,Na,78,0.05,Boulder,0.8,0,0,0,0,0,0.8,No,34.672987,111.668502,"Visually confirmed 30+ DS Potential breeding behavior,flashing chasing brave",5/18/2022 20:55,NA,81,192,Backpack Shocker,11/16/2022,NA,Pool,74
37,Beaver,May,Available,NA,NA,Pool,13.77,8,0.01,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.674506,111.672379,NA,5/17/2022 19:23,NA,NA,NA,NA,NA,NA,NA,9
98,Beaver,May,Available,NA,NA,Pool,Na,18,0.05,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.67301,111.666399,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,111
94,Beaver,May,Available,NA,NA,Pool,Na,22,0.01,Boulder,0,0,0,0,0,0,0,Yes,34.673258,111.668934,NA,5/18/2022 19:24,NA,NA,NA,NA,NA,NA,NA,67
30,Beaver,May,Available,NA,NA,Pool,6.13,22,0.01,Cobble,0,0,0,0,0,0,0,NA,34.674782,111.6723,NA,5/17/2022 18:53,NA,NA,NA,NA,NA,NA,NA,2
47,Beaver,May,Available,NA,NA,Pool,NA,22,0.05,Cobble,0.1,0,0,0,0,0,0.1,No,34.674048,111.671873,NA,5/17/2022 20:58,NA,NA,NA,NA,NA,NA,NA,19
43,Beaver,May,Available,NA,NA,Pool,NA,28,0,Silt,0,0,0,0,0,0,0,Yes,34.674146,111.672073,NA,5/17/2022 19:56,NA,NA,NA,NA,NA,NA,NA,15
73,Beaver,May,Available,NA,NA,Pool,Na,28,0.12,Cobble,0,0,0,0,0,0,0,Yes,34.672619,111.667893,NA,5/18/2022 22:01,NA,NA,NA,NA,NA,NA,NA,85
63,Beaver,May,Available,NA,NA,Pool,NA,28,0.02,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.67394,111.670737,NA,5/17/2022 22:15,NA,NA,NA,NA,NA,NA,NA,35
119,Beaver,May,Available,NA,NA,Pool,Na,31,0.01,Gravel,0,0,0,0,0.3,0,0.3,Yes,34.673019,111.666326,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,113
96,Beaver,May,Available,NA,NA,Pool,Na,36,0.03,Pebble,0,0,0,0,0,0,0,Yes,34.672948,111.668496,NA,5/18/2022 20:50,NA,NA,NA,NA,NA,NA,NA,73
109,Beaver,May,Available,NA,NA,Pool,Na,38,0.07,Cobble,0,0,0,0,0,0,0,Yes,34.672577,111.667064,NA,5/18/2022 23:35,NA,NA,NA,NA,NA,NA,NA,99
108,Beaver,May,Available,NA,NA,Pool,NA,38,0.11,Cobble,0.4,0,0,0,0,0,0.4,No,34.673092,111.666329,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,119
45,Beaver,May,Available,NA,NA,Pool,NA,50,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.674064,111.671974,NA,5/17/2022 20:51,NA,NA,NA,NA,NA,NA,NA,17
86,Beaver,May,Available,NA,NA,Pool,Na,54,0.08,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.672514,111.667134,NA,5/18/2022 23:28,NA,NA,NA,NA,NA,NA,NA,98
102,Beaver,May,Available,NA,NA,Pool,NA,55,0.1,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.67285,111.668194,NA,5/18/2022 21:27,NA,NA,NA,NA,NA,NA,NA,79
87,Beaver,May,Available,NA,NA,Pool,NA,56,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.673559,111.669265,NA,5/17/2022 23:55,NA,NA,NA,NA,NA,NA,NA,59
120,Beaver,May,Available,NA,NA,Pool,Na,56,0.06,Boulder,0,0,0,0,0,0,0,Yes,34.67257611,11.666972,NA,5/18/2022 23:41,NA,NA,NA,NA,NA,NA,NA,100
46,Beaver,May,Available,NA,NA,Pool,NA,58,0.01,Sand,0,0,0,0,0,0,0,Yes,34.67356,111.669434,NA,5/17/2022 23:51,NA,NA,NA,NA,NA,NA,NA,58
97,Beaver,May,Available,NA,NA,Pool,NA,64,0.02,Sand,0,0,0,0,0,0,0,Yes,34.673055,111.666281,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,114
101,Beaver,May,Available,NA,NA,Pool,Na,68,0.07,Cobble,0.2,0,0,0,0,0,0.2,No,34.673137,111.6163,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,117
65,Beaver,May,Available,NA,NA,Pool,NA,70,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.674028,111.670783,NA,5/17/2022 22:22,NA,NA,NA,NA,NA,NA,NA,37
110,Beaver,May,Available,NA,NA,Pool,Na,74,0.02,Silt,0,0,0,0.2,0,0,0.2,No,34.672564,111.667729,NA,5/18/2022 22:08,NA,NA,NA,NA,NA,NA,NA,87
66,Beaver,May,Available,NA,NA,Pool,NA,74,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.672874,111.668285,NA,5/18/2022 21:17,NA,NA,NA,NA,NA,NA,NA,78
44,Beaver,May,Available,NA,NA,Pool,NA,76,0,Cobble,0,0,0,0,0,0,0,Yes,34.6741,111.672027,NA,5/17/2022 20:48,NA,NA,NA,NA,NA,NA,NA,16
90,Beaver,May,Available,NA,NA,Pool,Na,76,0.04,Cobble,0,0,0,0,0,0,0,No,34.673332,111.669054,NA,5/18/2022 19:15,NA,NA,NA,NA,NA,NA,NA,66
91,Beaver,May,Available,NA,NA,Pool,NA,80,0.02,Sand,0,0,0,0,0,0,0,No,34.673091,111.666207,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,116
29,Beaver,May,Available,NA,NA,Pool,7.39,80,0.03,Cobble,0,0,0,0.05,0,0,0.05,No,34.674853,111.672343,NA,5/17/2022 18:43,NA,NA,NA,NA,NA,NA,NA,1
38,Beaver,May,Available,NA,NA,Pool,16.75,88,0,Cobble,0,0,0,0,0,0,0,Yes,34.674327,111.672434,NA,5/17/2022 19:30,NA,NA,NA,NA,NA,NA,NA,10
88,Beaver,May,Available,NA,NA,Pool,NA,90,0.03,Cobble,0,0,0,0.1,0,0,0.1,Yes,34.677719,111.695159,NA,5/18/2022 17:57,NA,NA,NA,NA,NA,NA,NA,60
51,Beaver,May,Available,NA,NA,Pool,Na,90,0.01,Cobble,0,0,0,0.4,0,0,0.4,Yes,34.6729831,112,NA,5/18/2022 21:07,NA,NA,NA,NA,NA,NA,NA,76
67,Beaver,May,Available,NA,NA,Pool,NA,92,0.02,Cobble,0,0,0,0,0,0.3,0.3,Yes,34.674051,111.670683,NA,5/17/2022 22:31,NA,NA,NA,NA,NA,NA,NA,39
39,Beaver,May,Available,NA,NA,Pool,17.75,112,0.02,Sand,0,0,0,0,0,0,0,Yes,34.67434,111.672385,NA,5/17/2022 19:38,NA,NA,NA,NA,NA,NA,NA,11
74,Beaver,May,Available,NA,NA,Pool,Na,120,0,Silt,0.1,0,0,0,0,0,0.1,Yes,34.672573,111.667815,NA,5/18/2022 22:05,NA,NA,NA,NA,NA,NA,NA,86
40,Beaver,May,Available,NA,NA,Pool,17.47,150,0.01,Sand,0,0,0,0,0,0,0,Yes,34.674256,111.672325,NA,5/17/2022 19:44,NA,NA,NA,NA,NA,NA,NA,12
41,Beaver,May,Available,NA,NA,Pool,NA,>150,0,Silt,0,0,0,0,0,0,0,Yes,34.674159,111.672373,Lat long recorded from stream bank,5/17/2022 19:50,NA,NA,NA,NA,NA,NA,NA,13
103,Beaver,May,Available,NA,NA,Pool,Na,>150,0,NA,0,0,0,0,0,0,0,Yes,34.672547,111.667696,NA,5/18/2022 22:17,NA,NA,NA,NA,NA,NA,NA,89
68,Beaver,May,Available,NA,NA,Pool,NA,>150,NA,Boulder,0,0,0,0,0,0,0,Yes,34.674142,111.670576,Lat long taken from bank,5/17/2022 22:37,NA,NA,NA,NA,NA,NA,NA,40
69,Beaver,May,Available,NA,NA,Pool,NA,>150,NA,NA,0,0,0,0.5,0,0,0.5,No,34.674082,111.670484,Lat long taken from bank,5/17/2022 22:41,NA,NA,NA,NA,NA,NA,NA,41
70,Beaver,May,Available,NA,NA,Pool,NA,>150,NA,Boulder,0,0,0,0,0,0,0,No,34.674002,111.670389,Lat long from bank,5/17/2022 22:47,NA,NA,NA,NA,NA,NA,NA,42
71,Beaver,May,Available,NA,NA,Pool,NA,>150,NA,Bedrock,0,0,0,0,0,0,0,No,34.673996,111.670304,Lat long from bank,5/17/2022 22:50,NA,NA,NA,NA,NA,NA,NA,43
92,Beaver,May,Available,NA,NA,Pool,Na,>150,0,Boulder,0.3,0,0,0.1,0,0,0.4,Yes,34.672941,111.668374,Lat long at bank,5/18/2022 21:12,NA,NA,NA,NA,NA,NA,NA,77
27,Beaver,May,Occupied,159,Black Bass,Riffle,NA,36,0.13,Cobble,0,0.7,0,0,0,0,0.7,Yes,34.674007,111.67107,NA,5/17/2022 21:58,NA,138,228,Backpack Shocker,11/22/2022,NA,pool,31
8,Beaver,May,Occupied,114,Desert Sucker,Riffle,NA,15,0.14,Cobble,0,0,0,0,0,0,0,Yes,34.673817,111.669741,Tag 124 washer 114,5/17/2022 23:19,Labeled correctly,91,196,Backpack Shocker,11/3/2022,NA,NA,51
9,Beaver,May,Occupied,118,Desert Sucker,Riffle,4.74,22,0.69,Cobble,0,0,0,0,0,0,0,Yes,34.674628,111.672315,NA,5/17/2022 19:14,NA,143,324,Backpack Shocker,11/3/2022,NA,NA,6
5,Beaver,May,Occupied,110,Desert Sucker,Riffle,NA,29,0.19,Cobble,0.1,0,0,0,0,0,0.1,No,34.674066,111.671672,NA,5/17/2022 21:15,NA,121,256,Backpack Shocker,11/3/2022,NA,NA,23
13,Beaver,May,Occupied,124,Desert Sucker,Riffle,NA,36,0.13,Cobble,0,0,0,0,0,0,0,Yes,34.673777,111.669714,Tag on tree says 114 washer says 124,5/17/2022 23:27,Labeled correctly,121,221,Backpack Shocker,11/12/2022,NA,Male,53
11,Beaver,May,Occupied,121,Desert Sucker,Riffle,Na,56,0.13,Boulder,0.3,0,0,0,0,0,0.3,No,34.673333,111.669122,NA,5/18/2022 19:06,"Confirmed Occupied, confirmed May 18th from photo date",86,192,Backpack Shocker,11/12/2022,NA,NA,65
105,Beaver,May,Available,NA,NA,Riffle,Na,15,0.05,Gravel,0.4,0,0,0,0,0,0.4,Yes,34.672733,111.668092,NA,5/18/2022 21:46,Changed depth from .15 to 15,NA,NA,NA,NA,NA,NA,82
114,Beaver,May,Available,NA,NA,Riffle,NA,8,0.08,Cobble,0,0,0,0,0,0,0,Yes,34.672444,11.667279,NA,5/18/2022 23:15,NA,NA,NA,NA,NA,NA,NA,95
118,Beaver,May,Available,NA,NA,Riffle,Na,8,0.66,Pebble,0,0,0,0.1,0,0,0.1,Yes,34.672447,111.667196,NA,5/18/2022 23:19,NA,NA,NA,NA,NA,NA,NA,96
64,Beaver,May,Available,NA,NA,Riffle,NA,8,1.02,Boulder,0,0,0,0,0,0,0,Yes,34.673871,111.669858,NA,5/17/2022 23:15,NA,NA,NA,NA,NA,NA,NA,49
42,Beaver,May,Available,NA,NA,Riffle,NA,10,0.07,Pebble,0,0,0,0,0,0,0,Yes,34.673714,111.669655,NA,5/17/2022 23:31,NA,NA,NA,NA,NA,NA,NA,54
107,Beaver,May,Available,NA,NA,Riffle,NA,10,0.4,Boulder,0,0,0,0,0,0,0,Yes,346727764,111.6667909,NA,5/18/2022 0:00,Confirmed 5/18 5:02 PM,NA,NA,NA,NA,NA,NA,106
80,Beaver,May,Available,NA,NA,Riffle,NA,12,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.673773,111.669717,NA,5/17/2022 23:23,NA,NA,NA,NA,NA,NA,NA,52
58,Beaver,May,Available,NA,NA,Riffle,NA,12,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.674081,111.671177,NA,5/17/2022 21:52,NA,NA,NA,NA,NA,NA,NA,30
36,Beaver,May,Available,NA,NA,Riffle,7.47,12,0.3,Cobble,0,0,0,0.5,0,0,0.5,Yes,34.674542,111.672289,NA,5/17/2022 19:20,NA,NA,NA,NA,NA,NA,NA,8
117,Beaver,May,Available,NA,NA,Riffle,Na,14,0.16,Cobble,0,0.1,0,0,0,0,0.1,No,34.672958,111.666461,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,110
28,Beaver,May,Available,NA,NA,Riffle,Na,14,0.13,Cobble,0.2,0,0,0,0,0,0.2,No,34.673134,111.668696,NA,5/18/2022 20:02,NA,NA,NA,NA,NA,NA,NA,70
78,Beaver,May,Available,NA,NA,Riffle,NA,15,0.18,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673815,111.669796,NA,5/17/2022 23:17,NA,NA,NA,NA,NA,NA,NA,50
83,Beaver,May,Available,NA,NA,Riffle,NA,16,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.673671,111.6696,NA,5/17/2022 23:34,NA,NA,NA,NA,NA,NA,NA,55
116,Beaver,May,Available,NA,NA,Riffle,Na,16,0.07,Cobble,0.3,0,0,0,0,0,0.3,No,34.672908,111.666525,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,109
50,Beaver,May,Available,NA,NA,Riffle,NA,16,0.21,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.674052,111.671779,NA,5/17/2022 21:09,NA,NA,NA,NA,NA,NA,NA,22
111,Beaver,May,Available,NA,NA,Riffle,Na,17,0.29,Cobble,0.2,0,0,0,0,0,0,No,34.672653,111.667963,NA,5/18/2022 21:57,NA,NA,NA,NA,NA,NA,NA,84
113,Beaver,May,Available,NA,NA,Riffle,NA,18,0,Cobble,0,0,0,0,0,0,0,Yes,34.672816,111.666666,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,107
93,Beaver,May,Available,NA,NA,Riffle,18,18,1.02,Boulder,0,1,0,0.3,0,0,1.3,Yes,34.673164,111.668775,NA,5/18/2022 19:51,NA,NA,NA,NA,NA,NA,NA,69
61,Beaver,May,Available,NA,NA,Riffle,NA,18,0.39,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.673972,111.670968,NA,5/17/2022 22:06,NA,NA,NA,NA,NA,NA,NA,33
112,Beaver,May,Available,NA,NA,Riffle,Na,18,0.23,Cobble,0.2,0,0,0.2,0.3,0,0.7,Yes,34.672518,111.667149,NA,5/18/2022 23:24,NA,NA,NA,NA,NA,NA,NA,97
54,Beaver,May,Available,NA,NA,Riffle,NA,18,0.55,Cobble,0.2,0,0,0,0,0,0.2,No,34.674031,111.671509,NA,5/17/2022 21:25,NA,NA,NA,NA,NA,NA,NA,26
121,Beaver,May,Available,NA,NA,Riffle,Na,18,0.37,Cobble,0.1,0,0,0,0,0,0,No,34.67286,111.666567,NA,5/18/2022 0:00,Confirmed Date,NA,NA,NA,NA,NA,NA,108
76,Beaver,May,Available,NA,NA,Riffle,NA,19,0.62,Bedrock,0,0,0,0.05,0,0,0.05,Yes,34.673933,111.66992,NA,5/17/2022 23:12,NA,NA,NA,NA,NA,NA,NA,48
49,Beaver,May,Available,NA,NA,Riffle,Na,20,0.33,Cobble,0,0,0,0,0,0,0,No,34.673374,111.669201,NA,5/18/2022 18:16,Removed NA from canopy,NA,NA,NA,NA,NA,NA,61
35,Beaver,May,Available,NA,NA,Riffle,5.39,20,0.54,Cobble,0,0,0,0,0,0,0,Yes,34.674582,111.672285,NA,5/17/2022 19:18,NA,NA,NA,NA,NA,NA,NA,7
60,Beaver,May,Available,NA,NA,Riffle,NA,20,0.63,Boulder,0,0,0,0,0,0.5,0.5,Yes,34.673997,111.67103,NA,5/17/2022 22:03,NA,NA,NA,NA,NA,NA,NA,32
79,Beaver,May,Available,NA,NA,Riffle,NA,20,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,34.673424,112,NA,5/18/2022 19:03,NA,NA,NA,NA,NA,NA,NA,64
62,Beaver,May,Available,NA,NA,Riffle,NA,22,0.18,Pebble,0,0,0,0,0,0,0,Yes,34.673938,111.670882,NA,5/17/2022 22:11,NA,NA,NA,NA,NA,NA,NA,34
56,Beaver,May,Available,NA,NA,Riffle,NA,24,0.48,Boulder,0,1,0,0,0,0,1,Yes,34.673988,111.6713,NA,5/17/2022 21:43,NA,NA,NA,NA,NA,NA,NA,28
53,Beaver,May,Available,NA,NA,Riffle,Na,24,0.17,Boulder,0.4,0,0,0,0,0,0.4,No,34.672719,111.666787,NA,5/18/2022 23:57,NA,NA,NA,NA,NA,NA,NA,105
81,Beaver,May,Available,NA,NA,Riffle,NA,26,0.16,Cobble,0,0,0,0.5,0,0,0.5,Yes,34.673674,111.669391,NA,5/17/2022 23:41,NA,NA,NA,NA,NA,NA,NA,57
33,Beaver,May,Available,NA,NA,Riffle,5.61,26,0.25,Cobble,0,0,0,0,0,0,0,Yes,34.674613,111.672323,NA,5/17/2022 19:09,NA,NA,NA,NA,NA,NA,NA,5
115,Beaver,May,Available,NA,NA,Riffle,Na,26,0.3,Cobble,0,0,0,0,0,0,0,No,34.672537,111.667595,NA,5/18/2022 23:05,NA,NA,NA,NA,NA,NA,NA,92
84,Beaver,May,Available,NA,NA,Riffle,NA,26,0.5,Cobble,0,0,0,0.3,0,0,0.3,Yes,34.673636,111.669526,NA,5/17/2022 23:37,NA,NA,NA,NA,NA,NA,NA,56
89,Beaver,May,Available,NA,NA,Riffle,Na,28,0.02,Cobble,0,0,0,0.1,0,0,0.1,No,34.67269,111.666867,NA,5/18/2022 23:53,NA,NA,NA,NA,NA,NA,NA,104
57,Beaver,May,Available,NA,NA,Riffle,NA,30,0.01,Cobble,0,0,0,0,0,0,0,No,34.673966,111.671203,NA,5/17/2022 21:48,NA,NA,NA,NA,NA,NA,NA,29
32,Beaver,May,Available,NA,NA,Riffle,4.16,32,0.04,Cobble,0,0,0,0,0,0,0,Yes,34.674733,111.672328,NA,5/17/2022 19:05,NA,NA,NA,NA,NA,NA,NA,4
31,Beaver,May,Available,NA,NA,Riffle,5.33,40,0.08,Cobble,0,0,0,0,0,0,0,Yes,34.674807,111.672286,NA,5/17/2022 18:58,NA,NA,NA,NA,NA,NA,NA,3
95,Beaver,May,Available,NA,NA,Riffle,Na,40,0.51,Cobble,0,0,0,0,0,0,0,No,34.673219,111.668876,NA,5/18/2022 19:43,NA,NA,NA,NA,NA,NA,NA,68
52,Beaver,May,Available,NA,NA,Riffle,NA,40,0.22,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.674057,111.671522,NA,5/17/2022 21:18,NA,NA,NA,NA,NA,NA,NA,24
106,Beaver,May,Available,NA,NA,Riffle,Na,56,0.35,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.672723,111.668018,NA,5/18/2022 21:51,NA,NA,NA,NA,NA,NA,NA,83
59,Beaver,May,Available,NA,NA,Riffle,Na,38,0.41,Cobble,0.1,0,0,0,0,0,0.1,No,34.67306,111.668659,21,5/18/2022 20:12,Changed depth from 78 to 38 based on photo,NA,NA,NA,NA,NA,NA,71
6,Beaver,May,Occupied,112,Black Bass,Run,NA,52,0.1,Cobble,0,0,0,0,0,0,0,No,34.674009,111.67149,NA,5/17/2022 21:22,NA,90,192,Backpack Shocker,11/3/2022,NA,NA,25
14,Beaver,May,Occupied,125,Black Bass,Run,Na,64,0.01,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672813,111.668171,NA,5/18/2022 21:30,Confirmed Occupied,103,202,Backpack Shocker,11/12/2022,NA,Riffles,80
2,Beaver,May,Occupied,106,Desert Sucker,Run,NA,40,0.08,Cobble,0,0,0,0,0,0,0,No,34.674058,111.671934,NA,5/17/2022 20:55,NA,144,234,Backpack Shocker,11/3/2022,NA,NA,18
21,Beaver,May,Occupied,143,Desert Sucker,Run,NA,42,0.21,Pebble,0,0,0,0,0,0,0,Yes,34.674034,111.671648,NA,5/17/2022 21:07,NA,76,189,Hoop Net,11/27/2022,Top of Reach,NA,21
23,Beaver,May,Occupied,147,Desert Sucker,Run,Na,43,0.28,Boulder,0,0,0,0,0,0,0,Yes,34.672629,111.666916,NA,5/18/2022 23:47,NA,88,198,Backpack Shocker,11/16/2022,NA,riffle,102
24,Beaver,May,Occupied,148,Desert Sucker,Run,Na,44,0.15,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.672614,111.666949,NA,5/18/2022 23:49,NA,77,183,Backpack Shocker,11/16/2022,NA,pool,103
7,Beaver,May,Occupied,113,Desert Sucker,Run,NA,118,0.14,Bedrock,0,0,0,0,0,0.6,0.6,Yes,34.673979,111.670226,NA,5/17/2022 23:00,NA,101,192,Backpack Shocker,11/3/2022,NA,NA,45
77,Beaver,May,Available,NA,NA,Run,Na,32,0.09,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672509,11.667483,NA,5/18/2022 23:08,NA,NA,NA,NA,NA,NA,NA,93
48,Beaver,May,Available,NA,NA,Riffle,NA,32,0.21,Cobble,0.2,0,0,0.05,0,0,0.25,Yes,34.674079,111.671795,NA,5/17/2022 21:02,Run to Riffle,NA,NA,NA,NA,NA,NA,20
72,Beaver,May,Available,NA,NA,Run,NA,33,0.01,Bedrock,0,0,0,0,0,0,0,Yes,34.673948,111.670225,NA,5/17/2022 22:54,NA,NA,NA,NA,NA,NA,NA,44
99,Beaver,May,Available,NA,NA,Run,Na,34,0.12,Cobble,0,0,0,0,0,0,0,No,34.672963,111.668585,NA,5/18/2022 20:24,NA,NA,NA,NA,NA,NA,NA,72
100,Beaver,May,Available,NA,NA,Run,Na,46,0.39,Bedrock,0,0,0,0,0,0,0,Yes,34672614,111.667679,NA,5/18/2022 22:56,NA,NA,NA,NA,NA,NA,NA,90
55,Beaver,May,Available,NA,NA,Run,NA,46,0.11,Cobble,0.2,0,0,0,0,0,0.2,No,34.67402,111.671419,NA,5/17/2022 21:30,NA,NA,NA,NA,NA,NA,NA,27
