,Tag,Stream,Month,ObjectID,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
113,NA,Clear,September,246,9/16/2022 22:51,Available,9.6,Riffle,32,0.1,Pebble,0,0,0,0,0,0,0,Yes,34.536861,111.681138,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,Clear,September,247,9/16/2022 22:53,Available,4.7,Riffle,32,0.24,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.536787,111.681071,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,Clear,September,248,9/16/2022 22:55,Available,5.9,Riffle,27,0.24,Pebble,0,0.05,0,0,0,0,0.05,Yes,34.536718,111.680995,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,Clear,September,249,9/16/2022 22:57,Available,6.6,Riffle,48,0.25,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.53669,111.680883,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,Clear,September,250,9/16/2022 22:59,Available,9.2,Pool,50,0.07,Pebble,0,0,0,0,0,0,0,Yes,34.536666,111.680844,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,Clear,September,251,9/16/2022 23:00,Available,11.2,Pool,48,0.02,Gravel,0,0,0,0,0,0,0,Yes,34.536639,111.680804,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,Clear,September,252,9/16/2022 23:02,Available,13.6,Pool,56,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.536612,111.680738,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,Clear,September,253,9/16/2022 23:04,Available,17,Pool,62,0.04,Gravel,0,0,0,0,0,0,0,No,34.536552,111.680652,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,Clear,September,254,9/16/2022 23:06,Available,15,Pool,115,0.02,Gravel,0,0,0,0,0,0,0,No,34.536501,111.680611,NA,Removed Yes from canopy,NA,NA,NA,NA,NA,NA,NA
122,NA,Clear,September,255,9/16/2022 23:08,Available,17.2,Pool,>150,Na,NA,0,0,0,0,0,0,0,NA,34.536505,111.680474,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,Clear,September,256,9/16/2022 23:10,Available,19.7,Pool,>150,Na,NA,0,0,0,0,0,0,0,NA,34.536434,111.680406,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,Clear,September,257,9/16/2022 23:11,Available,22.5,Pool,>150,Na,NA,0,0,0,0,0,0,0,NA,34.536355,111.680338,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,Clear,September,258,9/16/2022 23:15,Available,15.9,Pool,>150,Na,NA,0,0,0,0,0,0,0,NA,34.53633,111.68032,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,Clear,September,259,9/16/2022 23:17,Available,11.9,Pool,33,0,Silt,0,0,0,0.25,0,0,0.25,Yes,34.536288,111.680288,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,Clear,September,260,9/16/2022 23:18,Available,9.6,Pool,54,0,Pebble,0,0,0,0,0,0,0,NA,34.536205,111.680224,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,Clear,September,263,9/16/2022 23:25,Available,7.7,Riffle,39,0.07,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.536163,111.680167,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,NA,Clear,September,264,9/16/2022 23:26,Available,7.6,Riffle,18,0.3,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.536148,111.680087,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NA,Clear,September,265,9/16/2022 23:27,Available,7.9,Riffle,46,0.16,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.536127,111.680036,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,NA,Clear,September,266,9/16/2022 23:29,Available,7.2,Riffle,38,0.24,Cobble,0,0,0,0,0,0,0,Yes,34.536088,111.679899,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,NA,Clear,September,267,9/16/2022 23:30,Available,7.8,Riffle,40,0,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.536035,111.679741,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,NA,Clear,September,268,9/16/2022 23:32,Available,6.4,Riffle,20,0.18,Cobble,0.05,0,0.05,0,0,0,0.1,Yes,34.536013,111.679684,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,NA,Clear,September,269,9/16/2022 23:34,Available,9.4,Riffle,44,0.23,Cobble,0.1,0.05,0,0,0,0,0.15,Yes,34.536018,111.679604,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,NA,Clear,September,270,9/16/2022 23:35,Available,8.2,Riffle,30,0.11,Boulder,0.25,0,0,0,0,0,0.25,Yes,34.535974,111.679536,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,NA,Clear,September,271,9/16/2022 23:37,Available,7.7,Riffle,37,0.14,Cobble,0,0,0,0,0,0,0,Yes,34.535969,111.679446,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,NA,Clear,September,272,9/16/2022 23:39,Available,7.6,Riffle,28,0.05,Pebble,0.2,0,0,0,0,0,0.2,Yes,34.535964,111.679403,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,NA,Clear,September,273,9/16/2022 23:40,Available,5.7,Riffle,42,0.05,Cobble,0,0,0,0,0,0,0,Yes,34.535974,111.87932,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,Clear,September,274,9/16/2022 23:42,Available,8.4,Riffle,22,0.03,Boulder,0.35,0,0,0,0,0,0.35,Yes,34.535965,111.679237,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,NA,Clear,September,275,9/16/2022 23:44,Available,7.3,Riffle,36,0.35,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.535987,111.679114,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,NA,Clear,September,276,9/16/2022 23:45,Available,5.5,Riffle,32,0.22,Boulder,0.45,0,0,0,0,0,0.45,Yes,34.535992,111.679042,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,Clear,September,277,9/16/2022 23:47,Available,8.1,Riffle,34,0.14,Cobble,0,0.1,0,0,0,0,0.1,Yes,34.536009,111.678927,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,Clear,September,278,9/16/2022 23:49,Available,8.9,Riffle,24,0,Gravel,0,0,0,0,0,0,0,Yes,34.53596,111.678893,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,NA,Clear,September,279,9/16/2022 23:51,Available,5.2,Riffle,49,0.12,Pebble,0,0,0,0,0,0,0,Yes,34.535976,111.678822,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,NA,Clear,September,280,9/16/2022 23:52,Available,7.1,Riffle,25,0.01,Pebble,0.05,0,0,0,0,0,0.05,Yes,34.53594,111.678767,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,Clear,September,281,9/16/2022 23:54,Available,11.7,Pool,59,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.535902,111.678625,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,Clear,September,283,9/16/2022 23:58,Available,14.7,Pool,83,0.02,Gravel,0,0,0,0,0,0,0,No,34.535974,111.678495,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,Clear,September,284,9/16/2022 0:07,Available,13.3,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.535847,111.678452,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
149,NA,Clear,September,285,9/16/2022 0:07,Available,11.3,Pool,>150,Na,NA,0,0,0,0,0,0,0,NA,34.535817,111.678445,NA,"Changed date to reflect original data, NA canopy",NA,NA,NA,NA,NA,NA,NA
150,NA,Clear,September,286,9/16/2022 0:07,Available,12.5,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.535766,111.678332,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
151,NA,Clear,September,287,9/16/2022 0:07,Available,11.8,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.535722,111.678272,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
152,NA,Clear,September,289,9/16/2022 0:07,Available,14.2,Pool,74,0,Bedrock,0,0,0,0,0,0,0,No,34.535659,111.678203,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
153,NA,Clear,September,291,9/16/2022 0:12,Available,13.5,Pool,77,0,Bedrock,0,0,0.1,0,0,0,0.1,Yes,34.535594,111.678102,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
